Nome|Difficolta|Costo|Diete|Ingredienti

Focaccia (fagassa) alla genovese|Media|Basso|Senza lattosio; Vegetariano; |Farina 00; Farina Manitoba; Acqua; Sale fino; Malto; Lievito di birra fresco; Olio extravergine d'oliva; Olio extravergine d'oliva; Olio extravergine d'oliva; Sale; Acqua; 

Arancini di riso|Media|Basso||Zafferano; Burro; Riso vialone nano; Sale fino; Acqua; Caciocavallo; Sale fino; Pepe nero; Cipolle; Burro; Maiale; Olio extravergine d'oliva; Passata di pomodoro; Pisellini; Caciocavallo; Vino rosso; Prosciutto cotto; Mozzarella; Farina 00; Sale fino; Acqua; Pangrattato; Olio di semi; 

Polpettine di tonno e ricotta|Facile|Basso||Tonno sott'olio; Ricotta vaccina; Acciughe (alici); Capperi sotto sale; Pangrattato; Prezzemolo; Uova; Parmigiano Reggiano DOP; Sale fino; Pepe nero; Pangrattato; Olio di semi di arachide; 

Piadina Romagnola|Facile|Molto basso|Senza lattosio; |Farina 00; Strutto; Acqua; Sale fino; Bicarbonato; 

Casatiello napoletano|Difficile|Medio||Acqua; Farina 00; Lievito di birra fresco; Sale fino; Pepe nero; Strutto; Olio extravergine d'oliva; Salame napoletano; Pecorino; Uova; 

Muffin salati con piselli e prosciutto|Facile|||Pisellini; Prosciutto cotto; Farina 00; Latte intero; Uova; Prezzemolo; Olio extravergine d'oliva; Pecorino; Lievito istantaneo per preparazioni salate; Sale fino; Pepe nero; Olio di semi; 

Polpette di melanzane|Facile|Basso|Vegetariano; Senza lattosio; |Melanzane; Pangrattato; Parmigiano Reggiano DOP; Uova; Aglio; Pepe nero; Sale fino; Prezzemolo; Olio di semi; 

Hummus|Facile||Senza lattosio; Vegetariano; |Ceci precotti; Succo di limone; Tahina; Aglio; Olio extravergine d'oliva; Acqua; Sale fino; Paprika dolce; Prezzemolo; Olio extravergine d'oliva; Pepe nero; Semi di sesamo; Olio di sesamo; Acqua; Sale fino; 

Crocchette di patate|Facile|Molto basso|Vegetariano; |Patate rosse; Tuorli; Noce moscata; Pepe nero; Sale fino; Parmigiano Reggiano DOP; Uova; Pangrattato; Olio di semi di arachide; 

